,question,option_a,option_b,option_c,option_d,correct answer,option,subject,llama_score
0,பூவின் 4 வது நிலை,அலர்,மலர்,வீ,மொட்டு,மலர்,1,literature,1
1,பொருந்தாததைக் காண்க,ஔ,எ,அ,ண,ண,3,literature,0
2,நிருமித்த என்பதன் பொருள்,நிறுவனம்,விளைந்த,உருவாக்கிய,முடிவு,உருவாக்கிய,2,literature,0
3,பாவலரேறு வின் இயற்பெயர்,மணிவாசகம்,மாணிக்கவாசகர்,பெருஞ்சித்திரனார்,மாணிக்கம்,பெருஞ்சித்திரனார்,2,literature,1
4,பொருந்தாத்தைக் காண்க,நூறாசிரியம்,கொய்யாக்கனி,கனிச்சாறு,தமிழ்ச்சிட்டு,தமிழ்ச்சிட்டு,3,literature,0
5,முதலை என்ற சொல்லை பயன்படுத்திய இலக்கியம் எது,குறுந்தொகை,அகநானூறு,நற்றினை,பெரும்பாணாற்றுப்படை,குறுந்தொகை,0,literature,0
6,உயிரெழுத்துக்களில் நெடில் எழுத்துக்களின் எண்ணிக்கை,7,6,5,12,7,0,literature,0
7,இஸ்ரோவின் தலைவர்,சிவன்,முருகன்,அப்துல்கலாம்,மயில்சாமி அண்ணாதுரை,சிவன்,0,literature,0
8,தாய் மொழியில் படித்தால் ------ அடையலாம்,பொறுமை,பன்மை,சிறுமை,மேன்மை,மேன்மை,3,literature,1
9,தமிழ் மொழி இலக்கண வகைகள்,7,5,12,6,5,1,literature,1
10,தமிழ் என்ற சொல்லை முதலில் பயன்படுத்திய இலக்கியம் எது,தொல்காப்பியம்,வஞ்சிகாண்டம்,தேவாரம்,சிலப்பதிகாரம்,தொல்காப்பியம்,0,literature,0
11,பாகு என்பதன் பொருள் ,கார்ப்பு,புளிப்பு,இனிப்பு,கசப்பு,இனிப்பு,2,literature,0
12,கமுகு-ன் தாவரவியல் பெயர் என்ன ,தழை,மடல்,இலை,கூந்தல்,கூந்தல்,3,literature,1
13,பொருந்தாத்தைக் காண்க,அ,ய,ஞ,எ,ய,1,literature,1
14,மழை குறித்த அறிவியல் உண்மையை கூறியவர்,ஆண்டால்,கலிலியோ,ஔவையார்,தொல்காப்பியார்,ஆண்டால்,0,literature,0
