filename,transcript
0,மறுமார்க்கத்தில் Sunday and Tuesday சிறப்பு ரயில்கள் இயக்கப்பட்டன
1,Chennai இல் விட்டு விட்டு மழை பெய்யும்
2,மதுவில்லா தமிழக is important for
3,அதிவேகமாக வெப்பமயமாகும் Arctic pole
4,I love eating தொசை and சட்னி காலைல
5,காலிறுதியில் England வெளியேற்றியது Srilanka
6,சினிமாவில் உங்கள் salary என்னவென்று நினைக்கிறீர்கள்
7,பல்வேறு வகையான ஹோமம் யாகங்கள் இருந்தாலும் better than that தியாகமே சிறந்த பலனை அளிக்கும் என முன்னோர்கள் கூறியுள்ளனர்.
8,Johnson பந்துவீச்சில் Johnson இடமே Catch கொடுத்து வெளியேறினார் Williamson
9,மகாத்மா காந்தி வாழ்ந்த தென்னாப்பிரிக்க House ஐ French நிறுவனம் வாங்கியது
10,எனக்கு தெரியும் a great place for காபி nearby.
11,My தம்பி and I play கிரிக்கெட் இன்னிக்கு evening.
12,விஷ்வ ஹிந்து பரிஷத் மற்றும் பஜ்ரங் தள் ஆதரவாளர்களால்
13,செய்யத்தகாதனவற்றைச் செய்தலாலும் கெடும் செய்ய தகுவனவற்றைச் செய்யாமையாலும் கெடும்
14,ஈராக் மீதான War Working class மீதான Attack
15,மாறாக Communism தன்னுக்கும் அப்படி இருந்தது என்கிறோம் Communism என்ற பெயரில்
16,கூறுகையில் தனது Government தங்களது அதிகார எல்லைக்கு அப்பால் நடந்திடும் America
17,உனக்கு என்ன வேணும் Coffee or tea?
18,நான் இந்த புத்தகத்தை படிக்க நினைக்கிறேன். What do you recommend next?
19,When I visit சென்னை I always go to மெரினா Beach
