filename,transcript,whisper_results
0,நூறு மீட்டரில்,மூரு மீட்டரில்
1,ஐநூறு அடியில்,500 அ.
2,ஜான்சி ராணி லட்சுமிபாய் எழுதிய கடிதம் இங்கிலாந்தில் கண்டுபிடிப்பு,ஜான்சிராணி லஷ்மிவாய் எழுதிய கடிதம் இங்கிலாந்தில் கண்டுபிடிப்பு
3,நீங்கள் சேருமிடத்தை வந்தடைவீர்கள்,நீங்கள் சேரும் இடத்தை வந்தடைவீர்கள்.
4,கேரளத்து பத்மநாப சுவாமி கோயிலில் பெருமளவு தங்கம் கண்டுபிடிப்பு,கேரலத்து பத்மனாபஸ்வாமைக் கோவிலில் பெருமளவு தங்கம் கண்டுபிடிப்பு
5,டிசம்பர் இருபத்தி நான்காம் தேதி முதல் ஜனவரி ஒன்று வரை பள்ளிகளுக்கு விடுமுறை,டிசம்பர் 24 தேதி முதல் ஜனவரி ஒன்று வரை பள்ளிகளுக்கு விடுமுறை.
6,மலாலாவுக்கு ஐரோப்பிய ஒன்றியத்தின் சாகரோவ் மனித உரிமை விருது,மலாலாவுக்கு ஐரோபிய ஒன்றியத்தின் சாகரோ மனிதர் உரிமை விருது.
7,வாகனங்களின் விலைகுறையும்,வாகனங்களின் விளை குறையும்.
8,மறைந்த ஆப்பிள் நிறுவனர் ஸ்டீவ் ஜாப்சுக்கு கிராமி விருது,மறைந்த ஆப்பிள் நிருவனர் ஸ்டீவ் ஜாப்ஸக்கு கிராமி விருது.
9,அது மீடியாக்களால் உருவாக்கப்பட்டது,அது மீடியாக்களால் உருவாக்கப்பட்டது.
10,புதிய அரசியலமைப்புக்கு எகிப்து மக்கள் ஒப்புதல் அளித்தனர்,புதிய அரசியல் அமைப்புக்கு எகிப்து மக்கள் ஒப்புதல் அளித்தனர்.
11,விக்னேஷ் சிவனிடம் அவரது திருமணம் குறித்து கேட்காத நிருபர்கள் என்ன நிருபர்கள்,விக்னேஷ் சிவனிடம் அவரைத்து திருமணம் கூறித்துக் கேட்காத நிறுபரகள் என்ன நிறுபரகள்?
12,சென்னை விமான நிலையத்தில் ஒரு கிலோ தங்கம் பறிமுதல்,சென்னை விமான நிலையத்தில் ஒரு கிலோ தங்கம் பரிமுதல்
13,நடிகர் சங்கத்திற்கு சொந்தமான இடத்தின் தாய் பத்திரம் எங்களிடம்தான் இருக்கிறது,நடியர் சங்கத்திற்கு சொந்தமான இடத்தின் தாய்ப்பத்திரம் எங்கள் இடம்தான் இருக்கிறது.
14,மாலைதீவில் கடலுக்கடியில் அமைச்சரவைக் கூட்டம்,மாலைத் தீவில் கடலுக்கடியில் அமைச்சரவைகூட்டம்
15,தென்னிந்தியாவை விட வடஇந்தியா வேகமாக வளர்ச்சியடையும்,தின்இந்தியாவை விடு வடைந்தியா வேகமாக வளர்ச்சிடையும்
